variable,target,n,moyenne,ecart_type,mediane,q1,q3,min,max
curricular_units_2nd_sem_grade,Graduate,2209,12.69727584021306,2.6856075571439963,13,12.166666666666666,14,0,18.571428571428573
curricular_units_2nd_sem_without_evaluations,Dropout,1421,0.2378606615059817,0.9942096784866176,0,0,0,0,12
curricular_units_2nd_sem_without_evaluations,Enrolled,794,0.18765743073047858,0.7804669624473715,0,0,0,0,8
curricular_units_2nd_sem_without_evaluations,Graduate,2209,0.08057944771389769,0.5228721796598045,0,0,0,0,12
gdp,Dropout,1421,-0.15085855031667839,2.2517682492405284,0.32,-1.7,1.74,-4.06,3.51
gdp,Enrolled,794,0.053287153652392956,2.315631219598999,0.32,-1.7,1.79,-4.06,3.51
gdp,Graduate,2209,0.08183340878225442,2.2610811543877745,0.79,-1.7,1.79,-4.06,3.51
inflation_rate,Dropout,1421,1.2839549612948629,1.4049695934551278,1.4,0.3,2.6,-0.8,3.7
inflation_rate,Enrolled,794,1.211712846347607,1.3733552907989275,1.4,0.3,2.6,-0.8,3.7
inflation_rate,Graduate,2209,1.19791760977818,1.3711161255717839,0.6,0.3,2.6,-0.8,3.7
previous_qualification_grade,Dropout,1421,131.1140745953554,12.873353812662064,133.1,122,137,95,190
previous_qualification_grade,Enrolled,794,131.20843828715365,12.872110945020953,130,123,139,96,190
previous_qualification_grade,Graduate,2209,134.08270710728837,13.34212062246789,133.1,126,141,97,184.4
unemployment_rate,Dropout,1421,11.616396903589022,2.768259222188168,11.1,9.4,13.9,7.6,16.2
unemployment_rate,Enrolled,794,11.272544080604534,2.62813889936339,11.1,9.4,12.7,7.6,16.2
unemployment_rate,Graduate,2209,11.639339067451335,2.6014742401935513,11.1,9.4,13.9,7.6,16.2
